category,scope,hazard,scenario,service,class_key,component,metric,unit,label,full_value,sample_v1_value,sample_v2_value,delta_abs,delta_pct,v2_delta_abs,v2_delta_pct,v2_vs_v1_delta_abs,v2_vs_v1_delta_pct,missing_in
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_aerien,,damage_eur,eur,Elec BT aerien,54868092.36,45506583.63,49479288.62,-9361508.729999997,-17.06184473952066,-5388803.740000002,-9.821379800564296,3972704.9899999946,8.729956575736015,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_aerien,,direct_damage_eur,eur,Elec BT aerien,54868092.36,45506583.63,49479288.62,-9361508.729999997,-17.06184473952066,-5388803.740000002,-9.821379800564296,3972704.9899999946,8.729956575736015,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_aerien,,dysfunction_eur,eur,Elec BT aerien,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_aerien,,exposure_eur,eur,Elec BT aerien,520332523.27,520332523.27,520332523.27,0.0,0.0,0.0,0.0,0.0,0.0,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_aerien,,indirect_damage_eur,eur,Elec BT aerien,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_aerien,,total_damage_eur,eur,Elec BT aerien,54868092.36,45506583.63,49479288.62,-9361508.729999997,-17.06184473952066,-5388803.740000002,-9.821379800564296,3972704.9899999946,8.729956575736015,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_souterrain,,blocking_ouvrage_eur,eur,Elec BT souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_souterrain,,damage_eur,eur,Elec BT souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_souterrain,,direct_damage_eur,eur,Elec BT souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_souterrain,,dysfunction_eur,eur,Elec BT souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_souterrain,,exposure_eur,eur,Elec BT souterrain,1693329219.48,1693329219.48,1693329219.48,0.0,0.0,0.0,0.0,0.0,0.0,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_souterrain,,indirect_damage_eur,eur,Elec BT souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_bt_souterrain,,total_damage_eur,eur,Elec BT souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_hta_aerien,,blocking_ouvrage_eur,eur,Elec HTA aerien,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_hta_aerien,,damage_eur,eur,Elec HTA aerien,1570091.26,1277678.77,1426507.39,-292412.49,-18.623916803409248,-143583.8700000001,-9.14493785539575,148828.61999999988,11.64835978295232,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_hta_aerien,,direct_damage_eur,eur,Elec HTA aerien,1570091.26,1277678.77,1426507.39,-292412.49,-18.623916803409248,-143583.8700000001,-9.14493785539575,148828.61999999988,11.64835978295232,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_hta_aerien,,dysfunction_eur,eur,Elec HTA aerien,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_hta_aerien,,exposure_eur,eur,Elec HTA aerien,131071042.1,131071042.1,131071042.1,0.0,0.0,0.0,0.0,0.0,0.0,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_hta_aerien,,indirect_damage_eur,eur,Elec HTA aerien,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_hta_aerien,,total_damage_eur,eur,Elec HTA aerien,1570091.26,1277678.77,1426507.39,-292412.49,-18.623916803409248,-143583.8700000001,-9.14493785539575,148828.61999999988,11.64835978295232,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_hta_souterrain,,blocking_ouvrage_eur,eur,Elec HTA souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp100,,elec_hta_souterrain,,damage_eur,eur,Elec HTA souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
